,colony,type,week,frame_position,growth,wood_distance,comb_distance
2677,SH3,SH,1,2,0,137.2953021774598,76.53757247260981
2678,DD1,DD,1,8,0,61.0,127.0
2679,SH3,SH,3,4,0,4.0,1.0
2680,SH4,SH,2,2,0,64.07027391856539,12.806248474865697
2681,DD2,DD,3,8,0,7.0,5.830951894845301
2682,DD6,DD,2,3,0,77.0,30.364452901377952
2683,DD1,DD,2,9,0,26.0,127.80062597655773
2684,DD2,DD,3,8,1,94.53041838477179,2.8284271247461903
2685,SH2,SH,1,8,0,40.01249804748511,241.96074061715052
2686,SH4,SH,0,0,1,60.0,248.0
2687,SH6,SH,1,5,0,76.0,31.89043743820395
2688,SH2,SH,2,6,0,19.0,287.1167010119753
2689,SH3,SH,4,7,0,24.0,152.48606493709516
2690,SH2,SH,3,4,0,27.0,25.96150997149434
2691,DD2,DD,4,9,1,41.43669871020132,17.029386365926403
2692,SH7,SH,4,4,1,1.0,2.0
2693,SH3,SH,3,7,1,93.0,181.24568960391858
2694,SH6,SH,0,7,0,92.0,221.11761576138613
2695,SH6,SH,1,3,0,3.0,278.29840100151495
2696,SH6,SH,2,8,0,133.0,79.61155694998057
2697,DD7,DD,4,6,1,90.0,19.4164878389476
2698,DD1,DD,3,8,0,27.0,93.00537618869137
2699,DD6,DD,1,3,0,72.0,77.10382610480494
2700,DD4,DD,1,6,0,1.0,40.19950248448356
2701,SH7,SH,4,1,0,7.0,25.0
2702,DD1,DD,2,2,0,73.02739212103907,94.92101980067429
2703,DD1,DD,2,2,1,117.0,82.29216244576394
2704,DD5,DD,0,9,0,21.0,133.22537295875736
2705,DD1,DD,1,7,0,85.0,114.12712210513327
2706,SH7,SH,4,0,1,27.0,2.23606797749979
